Name,Employer,From,Experience,Keys
Консультант по открытым горным работам,Сумма технологий,,От 3 до 6 лет,"['Анализ данных', 'Моделирование бизнес процессов', 'Проектная документация', 'Разработка технических заданий', 'Разработка проектной документации', 'Постановка задач разработчикам', 'календарное планирование', 'Оперативное планирование', 'Оптимизация бизнес-процессов', 'анализ бизнес-процессов', 'Разработка рудных месторождений']"
Инженер-программист,Сумма технологий,,От 1 года до 3 лет,"['MS SQL Server', 'C#', '.NET Framework', 'SQL', 'MS SQL', 'АСУ ТП', 'Базы данных', 'PowerShell', 'Английский язык']"
Руководитель проектов MES,Сумма технологий,,От 3 до 6 лет,"['MS Project', 'Управление проектами', 'Английский язык', 'SAP Project', 'Деловая переписка', 'mes']"
Менеджер проектов в видеостудию,Студия Дениса Золотова,50000.0,От 1 года до 3 лет,"['Организаторские навыки', 'Работа в команде', 'Деловое общение', 'Пользователь ПК', 'Английский язык', 'Google Docs', 'Грамотная речь', 'Деловая переписка', 'Ведение переговоров', 'Навыки переговоров', 'Творческое мышление', 'Проведение презентаций', 'Заключение договоров', 'Навыки продаж']"
Бренд - менеджер,ФСК Северо-Запад,,От 3 до 6 лет,"['Грамотная речь', '1С: Документооборот', 'Создание презентационных материалов о компании', 'Лендинг', 'Позитивный настрой', 'Умение работать в режиме многозадачности', 'Рассылка сообщений']"
Influencer Communication Manager / Менеджер по работе с блогерами,CNNCT,,Нет опыта,"['Английский язык', 'Грамотная речь', 'Управление проектами']"
Административный помощник (IT),Paragon Software,,От 1 года до 3 лет,"['Английский язык', 'Работа в команде', 'Грамотная речь', 'Управление проектами', 'MS PowerPoint']"
BI Developer,IT X100,150000.0,От 1 года до 3 лет,"['Power BI', 'SSIS', 'SSAS', 'DAX', 'MS SQL']"
Ведущий менеджер направления программ лояльности,"РИВ ГОШ, Сеть магазинов",,От 1 года до 3 лет,"['MS PowerPoint', 'Деловая коммуникация', 'Аналитическое мышление', 'Постановка задач разработчикам', 'Навыки презентации', 'Oracle Siebel CRM', 'СРМ']"
"Middle/Senior QA engineer / тестировщик , удаленно",Рукс Солюшенс,120000.0,От 3 до 6 лет,"['тестирование API', 'регерссионное тестирование', 'Функциональное тестирование', 'Проведение тестирований', 'интеграционное тестирование']"
Аналитик 1С,Лаборатория Корпоративного Сопровождения,,От 3 до 6 лет,"['Бизнес-анализ', 'Постановка задач разработчикам', 'Системное мышление', '1С: Предприятие 8', 'Системная интеграция']"
АнтиФрод специалист,Karuna,,От 1 года до 3 лет,"['Английский язык', 'Работа с большим объемом информации', 'Аналитическое мышление']"
Junior Data transformation engineer,Broadridge,,Нет опыта,[]
Технический писатель (Группа разработки технической документации),Импульс-Автоматика,87000.0,От 3 до 6 лет,"['MS Visio', 'MS Visio (Структурные схемы)', 'RS-485', 'Enternet']"
Ведущий системный администратор,"КАДИС, Информационный центр",69600.0,От 3 до 6 лет,"['Active Directory', 'DHCP', 'Настройка DNS', 'Администрирование серверов Windows', 'Zabbix']"
Специалист технической поддержки / Помощник системного администратора,Универсальная Компьютерная Служба,26100.0,Нет опыта,"['Стрессоустойчивость', 'Внимательность', 'Пунктуальность', 'Windows Os', 'Настройка сетевых подключений', 'Сборка ПК', 'Настройка ПО', 'СБиС']"
Front-end Developer,LUCY Security,186667.0,От 3 до 6 лет,"['JavaScript', 'Git', 'HTML5', 'CSS3', 'jQuery', 'Vue.js', 'PostgreSQL', 'PHP']"
React and Blockchain developer,"Velvetech, LLC",,От 1 года до 3 лет,"['JavaScript', 'React', 'blockchain', 'Solidity', 'Ethereum', 'Moralis', 'Truffle', 'Английский язык']"
Ведущий менеджер по продажам,US STUDIO,60900.0,Нет опыта,"['Активные продажи', 'Ведение переговоров', 'B2B Продажи', 'Поиск и привлечение клиентов', 'CRM', 'Заключение договоров', 'Деловая переписка']"
Специалист по поиску уязвимостей,Digital Security,,От 1 года до 3 лет,[]
Руководитель проектного офиса,Бизнес Объединение Кубит,,От 3 до 6 лет,"['Управление проектами', 'Управление рисками', 'Проектное управление', 'Проектная работа', 'Проектная деятельность', 'проектный офис']"
Бизнес-аналитик по управлению персоналом,Бизнес Технологии,65000.0,От 1 года до 3 лет,[]
Инженер технической поддержки,Связной,52200.0,От 1 года до 3 лет,"['Ремонт ПК', 'Настройка сетевых подключений', 'Монтаж оборудования', 'Настройка ПК', 'Техническое обслуживание', 'Настройка ПО', 'Мобильность']"
Старший инженер,Связной,52200.0,От 1 года до 3 лет,"['Работа в команде', 'Деловое общение', 'Управление персоналом', 'Деловая этика', 'Контроль исполнения решений']"
Администратор ИТ-проектов,"РОСТ, Управляющая компания",,Нет опыта,"['Административное управление', 'Организаторские навыки', 'ERP']"
Старший QA инженер-тестировщик (Удалённо),RedLab,,От 3 до 6 лет,"['Git', 'SQL', 'Тестирование', 'Функциональное тестирование', 'Ручное тестирование']"
Программист С++ (удаленное сотрудничество),АСКОН,140000.0,От 1 года до 3 лет,"['C++', 'ООП']"
"Web-Программист (php, Bitrix)",АДВЕКC - Новостройки,100000.0,От 3 до 6 лет,"['JavaScript', 'jQuery', 'HTML', 'CSS', 'MySQL']"
Исследователь кода (НДВ),ИнфоТеКС,,От 3 до 6 лет,"['Информационная безопасность', 'Assembler', 'C', 'Firmware', 'ФСТЭК', 'Анализ кода', 'Статический анализ', 'Динамический анализ']"
Инженер по ремонту оргтехники,Прокси,50000.0,От 1 года до 3 лет,[]
Исследователь в области ИБ / Pentester,НеоБИТ,130500.0,От 1 года до 3 лет,"['Информационная безопасность', 'поиск уязвимостей', 'пентест', 'Web-безопасность', 'SQLMap', 'Python', 'С', 'С++', 'Wireshark', 'Burp Suite']"
PHP-программист (Middle / Backend),NewGen Vision,70000.0,От 1 года до 3 лет,"['PHP', 'Git', 'MySQL', 'ООП', 'PHP7', 'Laravel', 'SQL', 'MVC', 'Yii2', 'Docker', 'JSON API']"
E-mail маркетолог,pompa -женская одежда,65000.0,От 1 года до 3 лет,"['E-Mail Marketing', 'Direct Marketing', 'Google Analytics', 'Яндекс.Метрика', 'Photoshop', 'Работа в графических редакторах']"
Системный администратор/DevOps,Росконгресс,80000.0,От 1 года до 3 лет,"['TCP/IP', 'Linux', 'Автоматизация', 'Networking', 'Bash', 'Виртуализация', 'Администрирование серверов Linux']"
QA Automation Engineer (JavaScript),Grid Dynamics,,От 3 до 6 лет,"['QA', 'JavaScript', 'TypeScript', 'Automation']"
"Специалист технической поддержки 1,5 линия",ANCOR,43500.0,От 1 года до 3 лет,[]
Медиабайер/арбитражник (Media buyer Tiktok),BetaStudio,,От 1 года до 3 лет,"['Анализ трафика', 'Арбитраж трафика', 'CPA', 'Ведение отчетности', 'Креативность']"
Медиабайер / Арбитражник (Media buyer Facebook),BetaStudio,,От 1 года до 3 лет,"['Ведение отчетности', 'Креативность', 'Анализ трафика', 'Арбитраж трафика']"
Младший программист-разработчик 1С,НОНТОН.РФ,60000.0,Нет опыта,"['1С: Предприятие 8', '1С программирование']"
Сервисный инженер,АСТЕХ Индастриз,100000.0,От 1 года до 3 лет,"['Техническое обслуживание', 'Техническая документация', 'Сервисное обслуживание', 'Гарантийное обслуживание', 'чтение электрических схем', 'Гидравлика', 'Ремонт оборудования', 'Послепродажное обслуживание', 'Английский язык']"
IOS-developer,ATI.SU,180000.0,От 3 до 6 лет,"['Swift', 'Git', 'VIPER', 'iOS', 'SQL']"
Интернет-маркетолог,Деловые Линии,100000.0,От 1 года до 3 лет,"['Контекстная реклама', 'Ведение мобильных рекламных кампаний', 'SMS маркетинг', 'Google AdWords', 'Интернет-реклама', 'Google Analytics', 'Internet Marketing']"
Senior .NET Full-Stack Developer,КОРУС Консалтинг,,От 3 до 6 лет,"['MS SharePoint', 'C#', 'JavaScript', '.NET Framework', 'MS SQL Server']"
DevOps Engineer,Scalors GmbH,,От 3 до 6 лет,"['Python', 'Linux', 'Bash', 'Ruby', 'Kubernetes']"
Оператор станка с ЧПУ (металлообработка),А ГРУПП,43500.0,От 1 года до 3 лет,[]
QA инженер/QA Lead [id117781],Газпром нефть,,От 3 до 6 лет,"['SQL', 'PostgreSQL', 'Функциональное тестирование', 'ООП', 'Atlassian Jira']"
Системный администратор (Всеволожск),"Вимос, торговый дом",60000.0,От 3 до 6 лет,"['Windows 7', 'Администрирование', 'Linux', 'Windows Xp', 'Закупка оргтехники и оборудования']"
Python разработчик,Лаборатория Корпоративного Сопровождения,,От 3 до 6 лет,"['Python', 'Flask', 'MongoDB', 'Docker', 'PostgreSQL', 'SQLAlchemy', 'Pandas', 'Celery', 'numpy']"
Инженер радиосвязи/Инженер судовой радиосвязи,Маринэк,,От 1 года до 3 лет,[]
Frontend Developer,Kraftvaerk,,От 1 года до 3 лет,"['AngularJS', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'HTML5', 'Vue.js', 'TypeScript', 'webpack', 'Angular']"
Программист С++,Synopsys,,От 1 года до 3 лет,"['C/C++', 'Английский язык', 'Linux']"
Специалист технической поддержки и интеграции AI решения,Intellogic,90000.0,От 1 года до 3 лет,"['Linux', 'Python', 'SQL', 'Bash', 'dicom', 'Техническая поддержка']"
Специалист по сертификационным испытаниям (ФСТЭК),ИнфоТеКС,,От 3 до 6 лет,"['Информационная безопасность', 'Assembler', 'C', 'UEFI', 'UEFI/BIOS', 'BIOS', 'Firmware', 'ФСТЭК', 'Фаззинг', 'Fuzzing']"
Программист 1 С,Венеция Стоун,110000.0,От 1 года до 3 лет,"['1С программирование', '1С: Документооборот', '1С: Управление Торговлей']"
Аналитик в сфере защиты информации,НеоБИТ,,Нет опыта,"['Python', 'Защита информации', 'Информационная безопасность', 'Системное мышление', 'Аналитическое мышление', 'Криптография']"
Электромеханик КИПиА / наладчик оборудования,"DODO BRANDS (Dodo Pizza, Drinkit, Doner 42)",60000.0,Нет опыта,"['Техническое обслуживание', 'Ремонтные работы', 'Работа в команде', 'Контроль исправности оборудования', 'Организаторские навыки', 'Монтаж оборудования', 'Пуско-наладочные работы', 'Эксплуатация', 'Механик', 'Работа в режиме многозадачности', 'Электрика', 'Ремонт оборудования', 'Пневматика']"
Менеджер по информационной безопасности,"Северсталь, Москва",,От 1 года до 3 лет,"['Информационная безопасность', 'Управление проектами']"
Специалист по контекстной рекламе / Контекстолог,RUNITA,70000.0,От 1 года до 3 лет,"['Internet Marketing', 'Интернет-реклама', 'Google AdWords', 'Google Analytics', 'Яндекс.Метрика', 'CPA', 'Планирование рекламных кампаний', 'Веб-аналитика']"
Проект-менеджер,WelbeX,80000.0,От 1 года до 3 лет,"['Английский язык', 'Ведение переговоров', 'amoCRM', 'CRM', 'Деловая переписка', 'Навыки презентации', 'Проведение презентаций', 'Деловая коммуникация', 'Умение вести переговоры', 'Agile', 'Автоматизация процессов', 'Ведение переписки', 'Проектный менеджмент', 'Удаленная работа', 'B2B']"
System Analyst / Системный аналитик,A&D Mortgage,,Нет опыта,"['Atlassian Jira', 'XML', 'UML', 'JSON API', 'Time management']"
PowerBi/Business Intelligence Analyst,A&D Mortgage,,От 1 года до 3 лет,"['Python', 'MS SQL Server', 'Английский язык', 'Olap (online analytical processing)', 'SQL', 'Data Analysis', 'Business Intelligence Systems']"
Web-разработчик,A&D Mortgage,,От 1 года до 3 лет,"['JavaScript', 'Git', 'jQuery', 'CSS', 'HTML', 'Angular']"
Site Reliability Engineer,Scalors GmbH,,От 3 до 6 лет,"['Java', 'Linux', 'Английский язык']"
DevOps инженер (Senior),SberTech,,От 1 года до 3 лет,"['Python', 'SQL', 'Linux', 'PostgreSQL', 'Bash', 'Docker', 'Аnsible', 'Jenkins']"
Разработчик C# developer,A&D Mortgage,,От 3 до 6 лет,"['ASP.NET', 'C#', 'MS SQL Server', 'SQL Server', 'Visual Studio C#']"
Инженер-программист (1С/Web),Рексофт,,От 1 года до 3 лет,"['1С программирование', 'Разработка ПО', 'Работа с базами данных', 'Web-программирование', 'Техническая поддержка', 'C#']"
Программист ASP.NET,A&D Mortgage,,От 1 года до 3 лет,"['ASP.NET', 'Git', 'C#', 'ADO.NET', 'MS SQL Server', 'SOAP', 'Cristal Reports']"
Senior Frontend-разработчик,A&D Mortgage,,Нет опыта,"['JavaScript', 'Git', 'React', 'ASP.NET', 'C#']"
Performance QA Engineer,Самокат (ООО Умное пространство),,От 1 года до 3 лет,[]
"Senior C++ Developer Linux, remote",CQG,,Более 6 лет,"['Английский язык', 'C/C++', 'C++', 'Linux']"
Ведущий инженер по радиоизмерениям,Билайн,,От 1 года до 3 лет,[]
Ведущий разработчик .net,A&D Mortgage,,Нет опыта,"['C#', 'Atlassian Jira', 'Английский язык', 'Scrum', 'Креативность']"
Bitrix Developer,A&D Mortgage,,От 1 года до 3 лет,"['Английский язык', 'Unix', 'Bitrix24', 'CRM Bitrix24', 'Продвинутый пользователь ПК', 'PHP']"
IT Security Analyst,Tumlare Corporation,,От 3 до 6 лет,"['MS Access', 'MS PowerPoint', 'Time management', 'Interpersonal skills', 'English', 'Organization Skills', 'Business Planning', 'Compliance', 'Multitasking', 'Teamplayer', 'Английский язык', 'Работа в команде', 'Access', 'Fluent English', 'Teambuilding']"
Ведущий прикладной администратор,Банк ВТБ (ПАО),,От 1 года до 3 лет,"['SQL', 'Oracle Siebel CRM', 'Oracle CRM', 'MS CRM']"
Эксперт поддержки прикладных систем,Банк ВТБ (ПАО),,От 1 года до 3 лет,"['Atlassian Jira', 'PostgreSQL', 'ORACLE']"
Арт-лид / Арт-директор (GameDev),Skytec Games,120000.0,От 1 года до 3 лет,"['Adobe Photoshop', 'Графический дизайн', 'Дизайн', 'Графика', '3D-графика', 'Менеджмент', 'Художник', 'Управление проектами']"
Системный аналитик,Банк ВТБ (ПАО),,От 1 года до 3 лет,"['Python', 'SQL', 'Интервьюирование', 'Atlassian Jira', 'Atlassian Confluence']"
Главный специалист по сопровождению ЦФТ,Банк ВТБ (ПАО),,От 1 года до 3 лет,[]
Эксперт по микросервисам,Банк ВТБ (ПАО),,От 1 года до 3 лет,"['SQL', 'Oracle Pl/SQL', 'Linux', 'Тестирование', 'ORACLE', 'Oracle Siebel CRM']"
IOS/Flutter Developer,igooods,200000.0,От 1 года до 3 лет,"['iOS', 'Swift', 'Objective-C', 'Flutter', 'Dart']"
Инженер-программист встроенного ПО,АТБ Электроника,,От 1 года до 3 лет,"['Linux', 'C/C++', 'Английский язык', 'Техническая документация', 'C++', 'Bios', 'U-Boot']"
Junior developer .NET (C#),Слетать.ру,,Нет опыта,"['Git', 'C#', 'MS SQL', 'Linux', '.Net Core']"
QA Automation Engineer (Backend),Zion Development,,От 3 до 6 лет,"['Python', 'Docker', 'SQL', 'Git', 'Pytest']"
Firmware Developer (RTOS) IoT,Electrolux,,От 1 года до 3 лет,[]
Java Junior разработчик,МультиКарта,,От 1 года до 3 лет,"['JAVА SE', 'Java8', 'Spring', 'Groovy']"
Системный аналитик,МультиКарта,,От 1 года до 3 лет,"['HTML', 'BPMN', 'XML', 'Linux', 'MS SQL', 'JSON']"
C++ developer,B2Broker,150000.0,От 3 до 6 лет,"['C++', 'RabbitMQ', 'ProtoBuf', 'Docker', 'Kubernetes']"
Senior Frontend Developer,ALM Works,315000.0,От 3 до 6 лет,"['JavaScript', 'jQuery', 'HTML', 'CSS', 'CSS3', 'HTML5', 'TypeScript']"
Project manager,Агентство судебного взыскания,80000.0,От 1 года до 3 лет,"['Управление проектами', 'Оптимизация бизнес-процессов', 'MS Project', 'Project management', 'Проектный менеджмент']"
Менеджер по работе с клиентами ВЭД (удаленная работа),Азия Импорт,50000.0,От 3 до 6 лет,[]
BIM-менеджер / BIM-координатор,Группа Аквилон,100000.0,От 1 года до 3 лет,"['Autodesk Revit', 'Управление проектами', 'BIM', 'MS PowerPoint', 'Электронный документооборот', 'Ориентация на результат', 'Обучение персонала', 'Деловая коммуникация', 'Умение расставлять приоритеты', 'Моделирование', 'Revit', 'Autodesk AutoCAD']"
Маркетинговый аналитик,Big Data Technologies,,От 1 года до 3 лет,"['Анализ поведения пользователей', 'Маркетинговые исследования', 'Анализ рынка', 'Анализ конкурентной среды', 'Маркетинговый анализ']"
QA Engineer,Unlimint,,От 1 года до 3 лет,"['QA', 'QA Manual']"
Интернет-маркетолог,Система Забота,60900.0,От 3 до 6 лет,"['Контекстная реклама', 'Копирайтинг', 'Лидогенерация', 'Составление семантического ядра', 'Яндекс.Директ', 'Google AdWords', 'Работа с посадочными страницами']"
C++ Developer / Программист C++ (OpenGL),Nord.Codes,113100.0,От 1 года до 3 лет,"['Разработка компьютерных Игр', 'Паттерны проектирования', 'WEBGL', 'HTML5', 'C++', 'OpenGL', 'Adobe Flash', '3D Max', 'Графика', 'Blender 3D', 'Unity']"
Специалист по сопровождению продаж,Билайн,27840.0,Нет опыта,"['Работа в команде', 'Грамотная речь', 'Деловая этика', 'Деловое общение', 'Консультирование']"
Геймдизайнер-аналитик,Студия Кефир,,От 1 года до 3 лет,"['Python', 'SQL', 'Английский язык', 'Аналитические исследования', 'Аналитическое мышление', 'Анализ данных', 'Статистический анализ', 'Разработка компьютерных Игр']"
Маркетолог вебинаров,VIONE,200000.0,От 1 года до 3 лет,"['Работа в команде', 'Работа с большим объемом информации', 'Тестирование', 'Оперативный поиск информации в сети Интернет', 'Анализ бизнес показателей', 'Таргетинг']"
Руководитель телефонных продаж,Билайн,,От 1 года до 3 лет,"['Обучение персонала', 'Работа в команде', 'Организаторские навыки', 'Управление персоналом', 'Управление командой']"
Трафик-менеджер,VIONE,100000.0,От 1 года до 3 лет,"['Работа в команде', 'Работа с большим объемом информации', 'Тестирование', 'Оперативный поиск информации в сети Интернет', 'Анализ бизнес показателей', 'Таргетинг']"
Аналитик бизнес-процессов,HEADS and HANDS,65250.0,От 1 года до 3 лет,"['Обучение и развитие', 'Бизнес-анализ', 'Анализ бизнес-процессов', 'Составление описания должностей', 'Составление предложений о работе', 'Грамотная письменная речь', 'Многозадачность', 'Оптимизация процессов', 'Усердие', 'Системность', 'Работа с большим пулом запросов', 'Способность эффективно решать проблемы']"
Java (Kotlin) backend разработчик,HEADS and HANDS,,От 1 года до 3 лет,"['Java 8', 'Spring Framework', 'gitflow', 'Docker', 'NoSQL', 'Kubernetes', 'CI/CD', 'Java', 'Java 11', 'Kotlin']"
Инженер технической поддержки,ПрофИнфоСервис,45000.0,От 1 года до 3 лет,[]
Frontend Developer (React),HEADS and HANDS,,От 3 до 6 лет,"['Node.js', 'PostgreSQL', 'React', 'Git', 'Docker', 'SOLID', 'Next.js', 'JavaScript', 'MobX', 'SaaS', 'TypeScipt']"
Инженер-гидравлик (менеджер по продажам гидравлики),Промснаб,55000.0,Нет опыта,"['Обучаемость', 'Активность', 'Пунктуальность', 'Грамотность', 'Ведение переговоров', 'Английский язык', 'Креативность', 'Проведение презентаций']"
Senior back-end (Node.js) developer,ОнТаргет ЛАБС,357281.0,От 3 до 6 лет,[]
Системный администратор,ПрофИнфоСервис,50000.0,От 1 года до 3 лет,[]
Консультант SAP TMS со знанием Oracle (удалённо),NOVARDIS,,От 1 года до 3 лет,"['Английский язык', 'Управление проектами', 'Работа в команде', 'TMS Systems', 'Лидерство']"
Microsoft Dynamics AX Developer,WaveAccess,,От 1 года до 3 лет,"['Microsoft Dynamics AX', 'MS Dynamics CRM', 'MS Dynamics', 'MS Dynamics AX', 'MS Axapta']"
"Специалист по обслуживанию клиентов(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
Токарь на универсальные токарные станки,Петербургский тракторный завод,,От 1 года до 3 лет,[]
Client-Server Programmer,Wargaming St. Petersburg (Lesta Studio),,От 1 года до 3 лет,"['Python', 'ООП', 'Английский язык', 'C++', 'C']"
Администратор баз данных (PostgreSQL),SberTech,,От 1 года до 3 лет,"['PostgreSQL', 'Английский язык', 'Oracle Pl/SQL', 'SQL', 'MS SQL', 'СУБД']"
Начальник отдела информационных технологий,"МАГНИТ, Розничная сеть",83520.0,От 3 до 6 лет,"['Управление персоналом', 'Linux', 'Мотивация персонала', 'Руководство коллективом']"
Менеджер по продажам и развитию,АБС,45000.0,От 1 года до 3 лет,"['Телефонные переговоры', 'Заключение договоров', 'Навыки продаж', 'Деловое общение', 'CRM', 'Работа в команде', 'B2C', 'Bitrix', 'Планирование продаж', 'Навыки переговоров']"
"Full-stack developer (Разработчик PHP, JS)",OFFERRUM,70000.0,Нет опыта,"['JavaScript', 'PHP', 'jQuery', 'MySQL', 'Git', 'HTML5', 'CSS3', 'JS']"
Стажер SMM,Izvestniy Team,5000.0,Нет опыта,"['Работа в команде', 'Управление проектами', 'Ведение переговоров', 'SMM', 'Английский язык']"
Интернет-маркетолог,РусХОЛТС,,От 3 до 6 лет,"['Управление командой', 'Email маркетинг', 'Информационные рассылки', 'SMS маркетинг', 'Google AdWords']"
Младший инженер по качеству ПО / Junior QA Engineer,Veeam Software,80000.0,От 1 года до 3 лет,[]
Middle Frontend developer,ПИLКИ,160000.0,От 3 до 6 лет,[]
QA Automation Engineer (Python \ PowerShell),Veeam Software,,От 1 года до 3 лет,"['PowerShell', 'SQL', 'Pester', 'VMware', 'QA', 'Тестирование', 'Администрирование серверов Windows', 'TFS', 'Python', 'Virtualization']"
Проектный менеджер,ДНК Маркетинг,50000.0,От 1 года до 3 лет,"['Мотивация персонала', 'Подбор персонала', 'Обучение персонала', 'Управление персоналом', 'Обучение и развитие', 'Работа в команде', 'Управление проектами', 'Разработка и внедрение системы KPI', 'Проектный менеджмент', 'Тайм-менеджмент', 'Системное мышление', 'CRM', 'Адаптация персонала', 'Управленческие навыки', 'Организаторские навыки']"
Специалист технической поддержки,ПИLКИ,43500.0,От 1 года до 3 лет,"['CRM', 'Грамотная речь', 'Консультирование клиентов', 'Тестирование', '1С: CRM ПРОФ']"
Unity Developer,White Room Games,,От 1 года до 3 лет,"['Unity', 'C#', 'Android', 'Деловая коммуникация', 'Game Programming', 'Unity 3D', 'Мобильные приложения', 'iOS']"
Backend-разработчик (C#),Тетракуб,,От 3 до 6 лет,"['Git', 'C#', 'SQL', 'ASP.NET', 'Redis', 'Angular', 'Gitlab', 'REST API']"
Стажер - Журналист / Копирайтер,NewGen Vision,30000.0,Нет опыта,"['Журналистика', 'Наполнение контентом', 'Редактирование текстов', 'Написание статей', 'Написание сценариев', 'Рерайтинг', 'Написание текстов', 'Копирайтинг', 'Работа в команде', 'SEO-копирайтинг', 'перевод статей']"
Service delivery manager (Активация),Приложение «Кошелёк»,,От 1 года до 3 лет,"['Работа в команде', 'Scrum', 'Управление проектами']"
Service delivery manager (Ритейл),Приложение «Кошелёк»,,От 3 до 6 лет,"['Управление проектами', 'Работа в команде', 'Scrum', 'Kanban', 'Scrum Master', 'Менеджер проектов']"
Technical Product Manager (Fintech),Приложение «Кошелёк»,,От 3 до 6 лет,"['Английский язык', 'Аналитическое мышление', 'Системное мышление', 'Аналитика', 'Управление проектами', 'Управление продуктом', 'Системный анализ']"
Head Of Data,Приложение «Кошелёк»,,Более 6 лет,"['Big Data', 'Data Analysis', 'Управление командой', 'greenplum', 'airflow', 'Kubernetes']"
Technical Product Manager,Приложение «Кошелёк»,,От 3 до 6 лет,"['Разработка ПО', 'Разработка продукта', 'Системное мышление', 'Системный анализ', 'Продуктовый менеджмент']"
DevRel / Technology evangelist,Приложение «Кошелёк»,200000.0,От 3 до 6 лет,"['Публичные выступления', 'Грамотная речь', 'Написание статей', 'Написание текстов', 'Работа в команде', 'DevRel', 'Организация мероприятий', 'Нетворкинг', 'IT HR', 'Employer Branding']"
Стажер - PHP-программист (Backend),NewGen Vision,50000.0,Нет опыта,"['PHP', 'MySQL', 'Git', 'ООП', 'PHP7', 'Laravel', 'SQL', 'MVC', 'Yii2', 'Docker', 'JSON API']"
Web-разработчик (виртуальные инфраструктуры),Конфидент,,От 1 года до 3 лет,[]
Программист С++ (виртуальные инфраструктуры /СЗВИ),Конфидент,,От 3 до 6 лет,[]
Ведущий программист (СДЗ),Конфидент,,От 1 года до 3 лет,[]
Программист С++/Qt,Конфидент,,От 1 года до 3 лет,[]
Специалист по тестированию и внедрению,Конфидент,,От 1 года до 3 лет,[]
Программист (Linux),Конфидент,,От 1 года до 3 лет,"['STL', 'Linux', 'Python', 'SQL', 'Bash']"
Программист Linux (WAF),Конфидент,,От 1 года до 3 лет,"['Linux', 'TCP/IP', 'С']"
Ведущий специалист по тестированию и автоматизации,Конфидент,,От 1 года до 3 лет,[]
Ведущий бизнес-аналитик,Конфидент,,От 3 до 6 лет,[]
"Ведущий программист (сетевая безопасность, МЭ/СОВ)",Конфидент,,От 3 до 6 лет,"['STL', 'MS Visual Studio', 'C++', 'TCP/IP', 'MS Visual C++']"
Ведущий программист (Linux),Конфидент,,От 3 до 6 лет,[]
Менеджер продукта (endpoint),Конфидент,,От 1 года до 3 лет,"['Управление проектами', 'Информационная безопасность', 'Средства криптографической защиты информации', 'Технические средства информационной защиты', 'Информационные технологии']"
Аккаунт-менеджер (удаленно),ЛПТ,50000.0,От 1 года до 3 лет,"['Управление проектами', 'Ведение переговоров', 'Работа в команде', 'Деловая переписка', 'Сопровождение клиентов', 'Управление временем', 'Управление бизнес процессами', 'Многозадачность', 'Руководство коллективом', 'Грамотная речь', 'Клиентоориентированность', 'Тайм-менеджмент']"
Java-разработчик,Amex Development,,От 3 до 6 лет,"['Spring Framework', 'Spring Data', 'Spring Security', 'Git', 'Kafka', 'Java', 'REST', 'SOAP', 'Удаленная работа', 'Юмор']"
Java-разработчик (банковская сфера),"EGAR TECHNOLOGY, INC.",,От 1 года до 3 лет,"['Java', 'Git', 'Spring Framework', 'OpenShift', 'Groovy', 'Hibernate ORM']"
Scrum Master [Remote],Cloud Linux,,От 3 до 6 лет,"['Agile Project Management', 'Английский язык', 'Atlassian Jira', 'Scrum', 'Atlassian Confluence']"
Специалист технической поддержки,Лаборатория Гемотест,75000.0,От 1 года до 3 лет,"['TCP/IP', 'Настройка сетевых подключений', 'Ремонт ПК', 'Helpdesk', 'Техническое обслуживание', 'Техническая поддержка', 'Windows Os', 'Администрирование серверов Windows', 'Администрирование сетевого оборудования', 'Пользователь ПК']"
Специалист по продажам услуг,МТС,58725.0,Нет опыта,[]
Бизнес аналитик/Системный аналитик (финтех),Cbonds.ru,120000.0,От 3 до 6 лет,"['SQL', 'HTML', 'Python', 'CSS', 'Коммуникабельность', 'Инициативность', 'Аналитическое мышление', 'VBA', 'Математический анализ', 'Бизнес-анализ', 'Работа с базами данных']"
Full Stack Developer (Java/Angular),DIS Group,373335.0,От 3 до 6 лет,"['Git', 'Java', 'Angular', 'Atlassian Jira', 'Английский язык', 'React']"
Дизайнер одежды,Бергман Борис Геннадьевич,34800.0,От 1 года до 3 лет,"['Adobe Photoshop', 'Креативность', 'CorelDRAW', 'Планирование карьеры', 'Фотошоп', 'Дизайн', 'Дизайн одежды', 'Умение организовать работу', 'Желание работать и развиваться', 'Умение слушать', 'Желание учиться и развиваться', 'Чувство стиля', 'Поиск информации']"
Back-end Developer (Node.js),Аркадия,,От 1 года до 3 лет,['Английский язык']
Старший Frontend разработчик,Quantum Art,140000.0,От 3 до 6 лет,"['JavaScript', 'Git', 'HTML', 'CSS', 'HTML5']"
"Программист web, приложения",2К,56925.0,Нет опыта,"['PHP', 'HTML5', 'PHP5', 'JavaScript', 'Node.js', 'jQuery', 'React']"
Научный сотрудник (аналитик),Институт Авиационного Приборостроения Навигатор,,От 3 до 6 лет,[]
3D Animator,Saber Interactive,,От 1 года до 3 лет,"['Autodesk Maya', 'Анимация']"
Инженер-аналитик (электронные компоненты),Центр Содружества,80000.0,Более 6 лет,"['Работа с большим объемом информации', 'Анализ данных', 'Работа с базами данных', 'Деловая коммуникация', 'Аналитическое мышление']"
