Name,Employer,From,Experience,Keys
Монтажник ВОЛС,КЛАСС ТЕЛЕКОМ,50000.0,От 1 года до 3 лет,[]
Системный администратор Linux / DevOps,Vilesse,87000.0,От 3 до 6 лет,"['Linux', 'AWS', 'Ansible', 'Nginx', 'Администрирование серверов Linux', 'Bash', 'Python']"
Frontend Javascript разработчик,Vilesse,130500.0,От 3 до 6 лет,[]
"Таргетолог (Facebook/Instagram, Vk Ads, TikTok, MyTarget)",AdAurum,,От 1 года до 3 лет,"['Интернет-реклама', 'Реклама', 'MS Access', 'Управление временем', 'Мотивация', 'Таргетинг', 'myTarget']"
Automation QA engineer (remote work),Petrosoft LLC,,От 1 года до 3 лет,"['QA', 'Bug Reporting', 'Test case', 'Тестирование пользовательского интерфейса', 'Тестирование', 'Регресcионное тестирование', 'Функциональное тестирование', 'SQL', 'Java', 'ООП', 'XML', 'Selenium IDE']"
Менеджер по продажам компьютерной техники,Группа Компаний КМ Северо-Запад,45000.0,От 1 года до 3 лет,[]
Программист 1С,Счастливый взгляд,,От 3 до 6 лет,"['Работа в команде', '1С программирование', '1С: Розница', 'Работа с кассовым оборудованием']"
Специалист call-центра,Невалинк,,Нет опыта,"['Навыки межличностного общения', 'Пользователь ПК', 'Ведение переговоров', 'Телефонные переговоры', 'Деловая переписка', 'Поиск и привлечение клиентов', 'Консультирование клиентов по телефону', 'Консультирование клиентов', 'Прием и распределение телефонных звонков', 'Работа с базами данных', 'Навыки презентации', 'Навыки продаж', 'Грамотная речь', 'Навыки переговоров', 'входящие звонки', 'работа с физическими лицами']"
IOS разработчик,Enjoypro,,От 1 года до 3 лет,"['ООП', 'iOS']"
Lead of QA (remote work),Petrosoft LLC,,От 3 до 6 лет,"['SQL', 'Управление командой', 'Запуск новых продуктов', 'Разработка нового продукта', 'Контроль качества', 'QA', 'Регресcионное тестирование', 'Тестирование']"
Ведущий специалист по работе с корпоративными клиентами,Цифрал-Сервис,40000.0,От 1 года до 3 лет,"['Пользователь ПК', 'Управление персоналом', 'Ориентация на результат', 'Работа с большим объемом информации', 'CRM']"
Аналитик бизнес-процессов,Комитет по градостроительству и архитектуре,50000.0,Нет опыта,[]
Инженер-проектировщик по сетям связи,Невалинк,60000.0,От 1 года до 3 лет,"['AutoCAD', 'Разработка проектной документации', 'Проектирование', 'Проектная документация', 'Чтение чертежей', 'СНиП', 'Техническая документация', 'нормативно-техническая документация', 'Инженерные системы', 'ЕСКД', 'Подготовка отчетов']"
Автор курсов по JavaScript,html academy,130000.0,От 3 до 6 лет,"['JavaScript', 'Node.js', 'HTML', 'TypeScript', 'Проведение презентаций', 'Работа в команде', 'Публичные выступления', 'React.js']"
Руководитель отдела обработки данных,Метр Квадратный,130000.0,От 3 до 6 лет,"['Работа в команде', 'Ориентация на результат', 'Управление временем', 'Опытный пользователь ПК', 'управление архивом']"
Middle Frontend-разработчик,OFFERRUM,80000.0,От 1 года до 3 лет,"['Git', 'JavaScript', 'HTML', 'CSS', 'CSS3', 'react']"
"Backend Developer (Java, Kotlin)",Intellogic,180000.0,От 1 года до 3 лет,"['PostgreSQL', 'Kotlin', 'Java', 'Spring Framework', 'dicom', 'Microservices', 'REST', 'Kafka']"
Senior PHP Developer / Team Lead,OFFERRUM,156600.0,От 1 года до 3 лет,"['Git', 'Redis', 'MySQL', 'PHP', 'MongoDB']"
"Специалист в Call-сenter(удалённо, работа из дома)",Ozon,27840.0,Нет опыта,[]
Программист 1C,Старлайнер,,От 1 года до 3 лет,"['1С программирование', '1С: Документооборот', '1С: Комплексная автоматизация', 'Автоматизация процессов', '1С: Бухгалтерия']"
